Text(°C),Tint(°C),Qhvac(W),Qsun(W)
0.000000000000000000e+00,2.150000000000000000e+01,1.798000000000000000e+03,2.471276081680138237e-01
0.000000000000000000e+00,2.150000000000000000e+01,1.799000000000000000e+03,1.926308498686746251e-01
0.000000000000000000e+00,2.139999961853027344e+01,1.810000000000000000e+03,5.703359716367807364e-01
0.000000000000000000e+00,2.139999961853027344e+01,1.818000000000000000e+03,2.062737171913222589e-01
0.000000000000000000e+00,2.139999961853027344e+01,1.772000000000000000e+03,5.799308006792430747e-01
0.000000000000000000e+00,2.139999961853027344e+01,1.809000000000000000e+03,3.942358935102147077e-01
0.000000000000000000e+00,2.139999961853027344e+01,3.169000000000000000e+03,8.626600890784640319e-01
0.000000000000000000e+00,2.139999961853027344e+01,2.926000000000000000e+03,9.368788946288120201e-01
0.000000000000000000e+00,2.139999961853027344e+01,1.200000000000000000e+01,0.000000000000000000e+00
1.000000000000000000e+00,2.139999961853027344e+01,3.059000000000000000e+03,7.292465509775469812e-03
1.000000000000000000e+00,2.139999961853027344e+01,1.741000000000000000e+03,8.290687214762764157e-01
1.000000000000000000e+00,2.139999961853027344e+01,1.739000000000000000e+03,3.879029581289741291e-01
1.000000000000000000e+00,2.139999961853027344e+01,1.000000000000000000e+01,8.081243470150666353e-01
1.000000000000000000e+00,2.129999923706054688e+01,1.413000000000000000e+03,3.710382549110782247e-01
1.000000000000000000e+00,2.139999961853027344e+01,1.180000000000000000e+03,9.594946288742298712e-01
1.000000000000000000e+00,2.150000000000000000e+01,1.300000000000000000e+01,7.433930011135182481e-01
1.000000000000000000e+00,2.160000038146972656e+01,2.593000000000000000e+03,9.713364813419776977e-01
1.000000000000000000e+00,2.160000038146972656e+01,1.400000000000000000e+01,2.206374944303677310e-01
1.000000000000000000e+00,2.129999923706054688e+01,1.100000000000000000e+01,8.620353577081647511e-01
2.000000000000000000e+00,2.160000038146972656e+01,1.399000000000000000e+03,8.504216271418567619e-01
2.000000000000000000e+00,2.129999923706054688e+01,2.549000000000000000e+03,6.588497864852090879e-01
2.000000000000000000e+00,2.100000000000000000e+01,1.100000000000000000e+01,9.661182656883613440e-01
